id,name,raceName,superRaceName,levelMin,levelMax,isBoss,isMiniBoss,correspondingMiniBossId,isQuestMonster,canTackle,aggressiveZoneSize,speedAdjust
75,Dragoeuf Argile invoqué,Invocations de monstre,Créatures invoquées,62,70,False,False,0,False,False,3,0
76,Dragoeuf Calcaire,Dragoeufs Immatures,Créatures d'Amakna,62,70,False,False,2377,False,False,3,0
78,Rose Démoniaque,Plantes des champs,Créatures d'Astrub,16,20,False,False,2352,False,False,3,2
79,Pissenlit Diabolique,Plantes des champs,Créatures d'Astrub,16,20,False,False,2348,False,False,3,2
81,Kwak de Vent,Kwaks,Créatures d'Amakna,42,50,False,False,2369,False,False,3,0
82,Dragoeuf Charbon invoqué,Invocations de monstre,Créatures invoquées,62,70,False,False,0,False,False,3,0
83,Kwak de Flamme,Kwaks,Créatures d'Amakna,42,50,False,False,2451,False,False,3,0
84,Kwak de Glace,Kwaks,Créatures d'Amakna,42,50,False,False,2368,False,False,3,0
85,Gelée Royale Menthe,Gelées,Créatures des Dimensions,60,60,False,False,0,False,False,3,0
86,Gelée Royale Fraise,Gelées,Créatures des Dimensions,60,60,False,False,0,False,False,3,0
87,Dragoeuf Argile,Dragoeufs Immatures,Créatures d'Amakna,62,70,False,False,2450,False,False,3,0
88,Dragoeuf Ardoise,Dragoeufs Immatures,Créatures d'Amakna,62,70,False,False,2372,False,False,3,0
89,Dragoeuf Charbon,Dragoeufs Immatures,Créatures d'Amakna,62,70,False,False,2449,False,False,3,0
90,Dragoeuf Calcaire invoqué,Invocations de monstre,Créatures invoquées,62,70,False,False,0,False,False,3,0
96,Tiwabbit,Wabbits,Créatures de l'île des Wabbits,41,49,False,False,2293,False,False,3,0
97,Wo Wabbit,Wabbits,Créatures de l'île des Wabbits,52,60,False,False,2308,False,False,3,0
98,Tofu,Tofus,Créatures d'Amakna,32,40,False,False,2355,False,False,3,8
99,Grand Pa Wabbit,Wabbits,Créatures de l'île des Wabbits,52,60,False,False,2498,False,False,3,0
100,Fire Beule,Monstres divers,Créatures diverses,20,28,False,False,0,False,False,3,0
101,Bouftou,Bouftous,Créatures d'Astrub,22,30,False,False,2317,False,False,3,2
102,Mulou,Mulous,Créatures de Sidimote,92,100,False,False,2337,False,False,3,0
103,Prespic,Animaux de la forêt,Créatures d'Astrub,22,30,False,False,2349,False,False,3,0
104,Sanglier,Animaux de la forêt,Créatures d'Astrub,22,30,False,False,2353,False,False,3,1
106,Craqueleur,Craqueleurs,Créatures d'Amakna,62,70,False,False,2436,False,False,3,0
107,Hell Mina,Malters,Créatures de la Forêt Maléfique,150,150,False,False,0,False,False,3,0
108,Rib,Chafers,Créatures des cimetières,34,42,False,False,2276,False,False,3,0
110,Chafer Invisible,Chafers,Créatures des cimetières,25,37,False,False,2321,False,False,3,0
111,Tofu Maléfique,Bêtes de la nuit,Créatures des cimetières,32,200,False,False,2357,False,False,3,0
112,Boo,Gadouilleux,Créatures de la Montagne des Koalaks,25,29,False,False,2549,False,False,3,0
113,Dragon Cochon,Porcos,Créatures d'Amakna,100,100,False,False,0,False,False,3,0
114,La Folle,Invocations de monstre,Créatures invoquées,1,6,False,False,0,False,False,3,0
115,La Bloqueuse,Invocations de monstre,Créatures invoquées,1,6,False,False,0,False,False,3,0
116,La Sacrifiée,Invocations de monstre,Créatures invoquées,1,6,False,False,0,False,False,3,0
117,La Gonflable,Invocations de monstre,Créatures invoquées,1,6,False,False,0,False,False,3,0
118,Mineur Sombre,Bandits d'Amakna,Créatures d'Amakna,42,50,False,False,2335,False,False,3,0
119,Forgeron Sombre,Bandits d'Amakna,Créatures d'Amakna,42,50,False,False,2328,False,False,3,0
120,Tofu lancé,Invocations de monstre,Créatures invoquées,120,120,False,False,0,False,False,3,8
121,Minotoror,Minos,Créatures insulaires,120,120,False,False,0,False,False,3,0
123,Cochon de Lait,Porkass,Créatures de Cania,42,50,False,False,2325,False,False,3,0
124,Maître Vampire,Bêtes de la nuit,Créatures des cimetières,37,49,False,False,2532,False,False,3,0
126,Sousouris Grise,Bêtes de la nuit,Créatures des cimetières,1,1,False,False,2354,False,False,3,0
127,Vampire,Bêtes de la nuit,Créatures des cimetières,32,40,False,False,2302,False,False,3,0
134,Boufton Blanc,Bouftous,Créatures d'Astrub,22,30,False,False,2315,False,False,3,3
147,Bouftou Royal,Bouftous,Créatures d'Astrub,30,30,False,False,0,False,False,3,0
148,Chef de Guerre Bouftou,Bouftous,Créatures d'Astrub,22,30,False,False,2324,False,False,3,0
149,Boufton Noir,Bouftous,Créatures d'Astrub,22,30,False,False,2316,False,False,3,3
150,Noeul,Bêtes de la nuit,Créatures des cimetières,20,24,False,False,2542,False,False,3,0
152,La Fourbe,Invocations de monstre,Créatures invoquées,1,6,False,False,0,False,False,3,0
153,Boulanger Sombre,Bandits d'Amakna,Créatures d'Amakna,35,47,False,False,2318,False,False,3,0
154,Kwoan,Bêtes de la nuit,Créatures des cimetières,32,40,False,False,2522,False,False,3,0
155,Bandit du clan des Roublards,Bandits d'Amakna,Créatures d'Amakna,37,49,False,False,2314,False,False,3,0
156,Vampire Captif,Monstres de quête,Créatures de quête,18,18,False,False,0,False,False,3,0
157,Araknelle,Araknes,Créatures diverses,2,2,False,False,0,False,False,3,0
158,Coquille Explosive,Monstres divers,Créatures diverses,1,1,False,False,0,False,False,3,0
159,Milimulou,Animaux de la forêt,Créatures d'Astrub,22,90,False,False,2333,False,False,3,-2
160,Dopeul Féca,Dopeuls de Temple,Créatures de quête,20,220,False,False,0,False,False,3,0
161,Dopeul Osamodas,Dopeuls de Temple,Créatures de quête,20,220,False,False,0,False,False,3,0
162,Dopeul Enutrof,Dopeuls de Temple,Créatures de quête,20,220,False,False,0,False,False,3,0
163,Dopeul Sram,Dopeuls de Temple,Créatures de quête,20,220,False,False,0,False,False,3,0
164,Dopeul Xélor,Dopeuls de Temple,Créatures de quête,20,220,False,False,0,False,False,3,0
165,Dopeul Ecaflip,Dopeuls de Temple,Créatures de quête,20,220,False,False,0,False,False,3,0
166,Dopeul Eniripsa,Dopeuls de Temple,Créatures de quête,20,220,False,False,0,False,False,3,0
167,Dopeul Iop,Dopeuls de Temple,Créatures de quête,20,220,False,False,0,False,False,3,0
168,Dopeul Crâ,Dopeuls de Temple,Créatures de quête,20,220,False,False,0,False,False,3,0
169,Dopeul Sadida,Dopeuls de Temple,Créatures de quête,20,220,False,False,0,False,False,3,0
170,Dragoeuf Ardoise invoqué,Invocations de monstre,Créatures invoquées,62,70,False,False,0,False,False,3,0
171,Dragodinde amande sauvage,Dragodindes,Créatures de la Montagne des Koalaks,55,67,False,False,2379,False,False,3,0
173,Abraknyde Ancestral,Abraknydiens Sombres,Créatures d'Amakna,90,90,False,False,0,False,False,3,0
177,Coffre Malveillant,Monstres divers,Créatures diverses,50,50,False,False,0,False,False,3,0
178,Gobet,Gobelins d'Amakna,Créatures d'Amakna,32,40,False,False,2494,False,False,3,0
179,Wabbit Squelette,Wabbits,Créatures de l'île des Wabbits,48,56,False,False,2305,False,False,3,0
180,Wa Wabbit,Wabbits,Créatures de l'île des Wabbits,60,60,False,False,0,False,False,3,0
181,Wobot,Gawde du Wa,Créatures de l'île des Wabbits,72,80,False,False,0,False,False,3,0
182,Wabbit Gm,Wabbits,Créatures de l'île des Wabbits,80,80,False,False,0,False,False,3,0
194,Scarafeuille Rouge,Scarafeuilles,Créatures d'Amakna,34,42,False,False,2282,False,False,3,0
198,Scarafeuille Bleu,Scarafeuilles,Créatures d'Amakna,34,42,False,False,2281,False,False,3,0
200,Dragodinde rousse sauvage,Dragodindes,Créatures de la Montagne des Koalaks,60,72,False,False,2465,False,False,3,0
207,Citwouille,Épouvantises,Créatures de la Forêt Maléfique,25,45,False,False,0,False,False,3,0
208,Tikoko,Palmikos,Créatures de l'île de Moon,42,50,False,False,2292,False,False,3,2
209,Kokoko,Palmikos,Créatures de l'île de Moon,42,50,False,False,2573,False,False,3,2
211,Kanniboul Ark,Kannibouls de Moon,Créatures de l'île de Moon,52,60,False,False,2502,False,False,3,2
212,Kanniboul Eth,Kannibouls de Moon,Créatures de l'île de Moon,52,60,False,False,2506,False,False,3,2
213,Kanniboul Jav,Kannibouls de Moon,Créatures de l'île de Moon,52,60,False,False,2507,False,False,3,2
214,Kanniboul Sarbak,Kannibouls de Moon,Créatures de l'île de Moon,52,60,False,False,2505,False,False,3,2
215,Trukikol,Monstres de la Jungle Interdite,Créatures de l'île de Moon,92,100,False,False,2301,False,False,3,2
216,Gloutovore,Monstres de la Jungle Interdite,Créatures de l'île de Moon,92,100,False,False,2495,False,False,3,2
217,Fourbasse,Monstres de la Jungle Interdite,Créatures de l'île de Moon,92,100,False,False,2484,False,False,3,2
218,Nodkoko,Palmikos,Créatures de l'île de Moon,42,50,False,False,2541,False,False,3,3
220,Tortue Rouge,Tortues de Moon,Créatures de l'île de Moon,42,50,False,False,2297,False,False,3,-1
221,Tortue Bleue,Tortues de Moon,Créatures de l'île de Moon,42,50,False,False,2295,False,False,3,-1
222,Tortue Verte,Tortues de Moon,Créatures de l'île de Moon,42,50,False,False,2296,False,False,3,-1
223,Tortue Jaune,Tortues de Moon,Créatures de l'île de Moon,42,50,False,False,2298,False,False,3,-1
225,Darkli Moon,Monstres de la Jungle Interdite,Créatures de l'île de Moon,100,100,False,False,0,False,False,3,0
226,Moon,Monstres de la Jungle Interdite,Créatures de l'île de Moon,100,100,False,False,0,False,False,3,1
228,Boomba,Pirates de Moon,Créatures de l'île de Moon,82,90,False,False,2408,False,False,3,1
229,Nakunbra,Pirates de Moon,Créatures de l'île de Moon,82,90,False,False,2538,False,False,3,1
230,Le Chouque,Pirates de Moon,Créatures de l'île de Moon,90,90,False,False,0,False,False,3,1
231,Canondorf,Pirates de Moon,Créatures de l'île de Moon,82,90,False,False,2419,False,False,3,2
232,Meulou,Mulous,Créatures de Sidimote,100,100,False,False,0,False,False,3,0
233,Troollaraj,Troolls de Litneg,Créatures de Cania,112,120,False,False,2300,False,False,3,0
235,Kwak de Terre,Kwaks,Créatures d'Amakna,42,50,False,False,2367,False,False,3,0
236,Piou Violet,Pious,Créatures diverses,11,15,False,False,2347,False,False,3,3
238,Pelle Animée,Invocations de monstre,Créatures invoquées,1,6,False,False,0,False,False,3,0
240,Scarafeuille Vert,Scarafeuilles,Créatures d'Amakna,34,42,False,False,2283,False,False,3,0
241,Scarafeuille Blanc,Scarafeuilles,Créatures d'Amakna,34,42,False,False,2280,False,False,3,0
242,Flammèche Feu,Scarafeuilles,Créatures d'Amakna,1,6,False,False,0,False,False,3,0
243,Flammèche Eau,Scarafeuilles,Créatures d'Amakna,1,6,False,False,0,False,False,3,0
244,Flammèche Terre,Scarafeuilles,Créatures d'Amakna,1,6,False,False,0,False,False,3,0
245,Flammèche Air,Scarafeuilles,Créatures d'Amakna,1,6,False,False,0,False,False,3,0
246,Arakne,Invocations communes,Créatures invoquées,1,1,False,False,0,False,False,3,4
248,Brigandine,Monstres divers,Créatures diverses,40,48,False,False,0,False,False,3,0
250,Aiguille,Invocations de monstre,Créatures invoquées,1,6,False,False,0,False,False,3,0
252,Coffre des Forgerons,Bandits d'Amakna,Créatures d'Amakna,50,50,False,False,0,False,False,3,0
253,Abraknyde Sombre,Abraknydiens Sombres,Créatures d'Amakna,78,90,False,False,2388,False,False,3,0
254,Abraknyde Vénérable,Abraknydiens Sombres,Créatures d'Amakna,74,86,False,False,2389,False,False,3,0
255,Arakne des Égouts,Araknes,Créatures diverses,22,30,False,False,2393,False,False,3,4
256,Tronknyde,Abraknydiens,Créatures d'Amakna,33,45,False,False,2299,False,False,3,0
257,Chêne Mou,Abraknydiens Irascibles,Créatures d'Amakna,140,140,False,False,0,False,False,3,0
258,Branche Invocatrice,Abraknydiens Irascibles,Créatures d'Amakna,136,140,False,False,0,False,False,3,0
259,Arakne Majeure,Araknes,Créatures diverses,40,48,False,False,2311,False,False,3,0
260,Branche Soignante,Abraknydiens Irascibles,Créatures d'Amakna,136,140,False,False,0,False,False,3,0
261,Crocodaille,Gadouilleux,Créatures de la Montagne des Koalaks,42,50,False,False,2439,False,False,3,0
262,Chaferfu,Invocations communes,Créatures invoquées,1,1,False,False,0,False,False,3,0
263,Chef Crocodaille,Gadouilleux,Créatures de la Montagne des Koalaks,61,77,False,False,2428,False,False,3,0
264,Cadran de Xélor,Invocations de monstre,Créatures invoquées,1,6,False,False,0,False,False,3,0
265,Bwak de Feu,Kwaks,Créatures d'Amakna,16,20,False,False,0,False,False,3,0
266,Bwak de Terre,Kwaks,Créatures d'Amakna,16,20,False,False,0,False,False,3,0
267,Bwak d'Air,Kwaks,Créatures d'Amakna,16,20,False,False,0,False,False,3,0
268,Bwak d'Eau,Kwaks,Créatures d'Amakna,16,20,False,False,0,False,False,3,0
269,Kwakere de Flamme,Kwaks,Créatures d'Amakna,42,50,False,False,0,False,False,3,0
270,Kwakere de Terre,Kwaks,Créatures d'Amakna,42,50,False,False,0,False,False,3,0
271,Kwakere de Glace,Kwaks,Créatures d'Amakna,42,50,False,False,0,False,False,3,0
272,Kwakere de Vent,Kwaks,Créatures d'Amakna,42,50,False,False,0,False,False,3,0
273,Blop Coco,Blops,Créatures de Cania,52,60,False,False,2404,False,False,3,0
274,Blop Indigo,Blops,Créatures de Cania,52,60,False,False,2406,False,False,3,0
275,Blop Griotte,Blops,Créatures de Cania,52,60,False,False,2405,False,False,3,0
276,Blop Reinette,Blops,Créatures de Cania,52,60,False,False,2407,False,False,3,0
277,Biblop Indigo,Blops,Créatures de Cania,24,28,False,False,2396,False,False,3,0
278,Biblop Coco,Blops,Créatures de Cania,24,28,False,False,2399,False,False,3,0
279,Biblop Griotte,Blops,Créatures de Cania,24,28,False,False,2400,False,False,3,0
280,Biblop Reinette,Blops,Créatures de Cania,24,28,False,False,2401,False,False,3,0
281,Corbac,Corbacs,Créatures de Cania,102,110,False,False,2437,False,False,3,0
282,Arbre,Invocations de monstre,Créatures invoquées,1,6,False,False,0,False,False,3,0
286,Tarche,Monstres de quête d'alignement,Créatures de quête,31,31,False,False,0,False,False,3,0
287,Kanigrou,Ruffians de Cania,Créatures de Cania,62,105,False,False,2503,False,False,3,0
288,Serpentin,Animaux des Champs,Créatures de Cania,52,60,False,False,2286,False,False,3,0
289,Maître Corbac,Corbacs,Créatures de Cania,110,110,False,False,0,False,False,3,0
290,Chafer Lancier,Chafers,Créatures des cimetières,42,50,False,False,2322,False,False,3,0
291,Chafer Archer,Chafers,Créatures des cimetières,42,50,False,False,2320,False,False,3,0
292,Chafer d'Élite,Chafers,Créatures des cimetières,42,50,False,False,2422,False,False,3,0
293,Craqueleur des Plaines,Craqueleurs,Créatures d'Amakna,62,70,False,False,2438,False,False,3,0
294,Souris Verte,Animaux des Champs,Créatures de Cania,54,62,False,False,2447,False,False,3,0
296,Milicien,Gardes des cités,Créatures diverses,20,100,False,False,0,False,False,3,0
297,Sanglier des Plaines,Porkass,Créatures de Cania,40,48,False,False,2279,False,False,3,0
298,Scorbute,Sidimonstres,Créatures de Sidimote,62,70,False,False,2285,False,False,3,0
299,Croc Gland,Sidimonstres,Créatures de Sidimote,62,70,False,False,2378,False,False,3,0
300,Kolérat,Sidimonstres,Créatures de Sidimote,62,70,False,False,2520,False,False,3,0
301,Macien,Sidimonstres,Créatures de Sidimote,62,70,False,False,0,False,False,3,0
314,Torche,Monstres de quête d'alignement,Créatures de quête,35,111,False,False,0,False,False,3,0
343,Cavalier Porkass,Porkass,Créatures de Cania,42,50,False,False,2420,False,False,3,0
344,Berger Porkass,Porkass,Créatures de Cania,42,50,False,False,2397,False,False,3,0
365,Corbac égaré,Monstres de quête d'alignement,Créatures de quête,37,37,False,False,0,False,False,3,0
366,Sanglier agressif,Monstres de quête d'alignement,Créatures de quête,40,40,False,False,0,False,False,3,0
369,Mak Gahan,Monstres de quête d'alignement,Créatures de quête,31,31,False,False,0,False,False,3,0
370,Mak Gahan équipé,Monstres de quête d'alignement,Créatures de quête,35,35,False,False,0,False,False,3,0
371,Maître Bolet,Ruffians de Cania,Créatures de Cania,62,70,False,False,2359,False,False,3,0
372,Guerrier,Gardes des cités,Créatures diverses,20,100,False,False,0,False,False,3,0
376,Garret Abass,Monstres de quête d'alignement,Créatures de quête,52,52,False,False,0,False,False,3,0
378,Fantôme Aux Plates,Fantômes de Brâkmar,Créatures de Bonta et Brâkmar,42,50,False,False,2467,False,False,3,0
379,Fantôme Égérie,Fantômes de Brâkmar,Créatures de Bonta et Brâkmar,42,50,False,False,2468,False,False,3,0
380,Fantôme Hicide,Fantômes de Brâkmar,Créatures de Bonta et Brâkmar,42,50,False,False,2563,False,False,3,0
382,Tofu Royal,Gros Tofus,Créatures d'Amakna,120,120,False,False,0,False,False,3,0
384,Aboub,Dopeuls,Créatures de Cania,35,47,False,False,2384,False,False,3,0
385,Amlub,Dopeuls,Créatures de Cania,35,47,False,False,2391,False,False,3,0
386,Codem,Dopeuls,Créatures de Cania,35,47,False,False,2433,False,False,3,0
387,Gink,Dopeuls,Créatures de Cania,35,47,False,False,2493,False,False,3,0
388,Kirevam,Dopeuls,Créatures de Cania,35,47,False,False,2508,False,False,3,0
389,Let Emoliug,Dopeuls,Créatures de Cania,35,47,False,False,2525,False,False,3,0
390,Nebgib,Dopeuls,Créatures de Cania,35,47,False,False,2539,False,False,3,0
391,Nipul,Dopeuls,Créatures de Cania,35,47,False,False,2540,False,False,3,0
392,Osurc,Dopeuls,Créatures de Cania,35,47,False,False,2585,False,False,3,0
393,Susej,Dopeuls,Créatures de Cania,35,47,False,False,2289,False,False,3,0
394,Chevalier,Gardes des cités,Créatures diverses,50,200,False,False,0,False,False,3,0
395,Écureuil bagarreur,Monstres de quête,Créatures de quête,37,37,False,False,0,False,False,3,0
396,Chafer Fantassin,Chafers,Créatures des cimetières,33,41,False,False,2421,False,False,3,0
397,Croc Gland Enragé,Sidimonstres,Créatures de Sidimote,40,40,False,False,0,False,False,3,0
398,Dike Tarak,Monstres de quête d'alignement,Créatures de quête,5,5,False,False,0,False,False,3,0
399,Champion de la taverne du Bworkball,Monstres de quête d'alignement,Créatures de quête,72,72,False,False,0,False,False,3,0
400,Videur de la taverne de Djaul,Monstres de quête d'alignement,Créatures de quête,72,72,False,False,0,False,False,3,0
401,Chevalier Nogard,Gardes des cités,Créatures diverses,73,73,False,False,0,False,False,3,0
402,Azra Lazarus,Monstres de quête d'alignement,Créatures de quête,73,73,False,False,0,False,False,3,0
403,Colonel Lyeno,Monstres de quête d'alignement,Créatures de quête,75,75,False,False,0,False,False,3,0
404,Momie Nova,Monstres de quête,Créatures de quête,130,130,False,False,0,False,False,3,0
405,Puja Mustam,Monstres de quête d'alignement,Créatures de quête,5,5,False,False,0,False,False,3,0
406,William Lenglad,Monstres de quête d'alignement,Créatures de quête,70,135,False,False,0,False,False,3,0
407,Oto Mustam,Monstres de quête d'alignement,Créatures de quête,200,200,False,False,0,False,False,3,0
411,Petite Larve Dorée,Monstres de quête d'alignement,Créatures de quête,15,23,False,False,0,False,False,3,0
412,Larve Saphir,Grosses Larves,Créatures d'Amakna,42,50,False,False,0,False,False,3,0
413,Larve Rubis,Grosses Larves,Créatures d'Amakna,42,50,False,False,0,False,False,3,0
414,Larve Émeraude,Grosses Larves,Créatures d'Amakna,42,50,False,False,0,False,False,3,0
415,Chafer Archer de Brâkmar,Monstres de quête d'alignement,Créatures de quête,92,92,False,False,0,False,False,20,0
416,Enora,Monstres de quête d'alignement,Créatures de quête,92,92,False,False,0,False,False,3,0
417,Tomoya,Monstres de quête d'alignement,Créatures de quête,92,92,False,False,0,False,False,3,0
418,Roturo,Monstres de quête d'alignement,Créatures de quête,92,92,False,False,0,False,False,3,0
419,WonnoLirsin,Monstres de quête d'alignement,Créatures de quête,92,92,False,False,0,False,False,3,0
420,SicraKira,Monstres de quête d'alignement,Créatures de quête,92,92,False,False,0,False,False,3,0
421,Momu,Monstres de quête d'alignement,Créatures de quête,92,92,False,False,0,False,False,3,0
422,Dopeul Dark Vlad,Dopeuls,Créatures de Cania,120,120,False,False,0,False,False,3,0
423,Kralamoure Géant,Monstres des Tourbières,Créatures de l'île d'Otomaï,640,1280,False,False,0,False,False,3,0
424,Tentacule Primaire,Monstres des Tourbières,Créatures de l'île d'Otomaï,121,133,False,False,0,False,False,3,0
426,Petit Jan,Monstres de quête d'alignement,Créatures de quête,60,135,False,False,0,False,False,3,0
427,Lady Meriane,Monstres de quête d'alignement,Créatures de quête,50,135,False,False,0,False,False,3,0
429,Gelée Citron,Gelées,Créatures des Dimensions,54,62,False,False,0,False,False,3,0
430,Gelée Royale Citron,Gelées,Créatures des Dimensions,60,60,False,False,0,False,False,3,0
432,Arakne faible,Monstres de quête,Créatures de quête,1,2,False,False,0,False,False,3,0
434,Épée Vorace,Invocations de classe Sacrieur,Créatures invoquées,1,1,False,False,0,False,False,3,0
435,Petit Boufton Blanc,Monstres de quête,Créatures de quête,1,3,False,False,0,False,False,3,3
436,Lapin,Monstres de quête,Créatures de quête,1,1,False,False,0,False,False,3,0
437,Mili-Milimulou,Monstres de quête,Créatures de quête,6,6,False,False,0,False,False,3,-2
438,Brigandin,Monstres divers,Créatures diverses,40,48,False,False,0,False,False,3,0
442,Rat d'Égoutant,Rats Maknéens,Créatures d'Amakna,52,60,False,False,2273,False,False,3,0
446,Aermyne 'Braco' Scalptaras,Avis de recherche,Créatures de quête,80,80,False,False,0,False,False,3,0
447,Ramane d'Égoutant,Rats Maknéens,Créatures d'Amakna,52,60,False,False,2423,False,False,3,0
448,Bondu,Monstres divers,Créatures diverses,1,1,False,False,0,False,False,3,0
449,Rat d'Hyoactif,Rats Maknéens,Créatures d'Amakna,52,60,False,False,2275,False,False,3,0
450,Gardienne des Égouts,Araknes,Créatures diverses,145,165,False,False,0,False,False,3,0
455,Dopeul Sacrieur,Dopeuls de Temple,Créatures de quête,20,220,False,False,0,False,False,3,0
456,Larve Dorée,Grosses Larves,Créatures d'Amakna,42,50,False,False,0,False,False,3,0
457,Shin Larve,Grosses Larves,Créatures d'Amakna,50,50,False,False,0,False,False,3,0
459,Padgref Demoël,Avis de recherche,Créatures de quête,130,130,False,False,0,False,False,3,0
460,Frakacia Leukocytine,Avis de recherche,Créatures de quête,30,30,False,False,0,False,False,3,0
462,Ogivol Scalarcin,Avis de recherche,Créatures de quête,50,50,False,False,0,False,False,3,0
463,Fouduglen l'Écureuil,Avis de recherche,Créatures de quête,20,20,False,False,0,False,False,3,0
464,Brumen Tinctorias,Avis de recherche,Créatures de quête,60,60,False,False,0,False,False,3,0
465,Scélérat Strubien,Rats Strubiens,Créatures d'Astrub,22,30,False,False,2350,False,False,3,0
466,Bandit Manchot,Bandits d'Amakna,Créatures d'Amakna,42,50,False,False,2313,False,False,3,0
467,Rose Obscure,Plantes des champs,Créatures d'Astrub,19,27,False,False,2277,False,False,3,0
469,Écureuil mesquin,Monstres de quête,Créatures de quête,5,9,False,False,0,False,False,3,0
471,Allisteria,Monstres de quête,Créatures de quête,10,10,False,False,0,False,False,3,0
472,Arakne perverse,Monstres de quête,Créatures de quête,12,12,False,False,0,False,False,3,0
473,Tofu Malade,Animalades,Créatures d'Astrub,11,15,False,False,2356,False,False,3,0
474,Arakne Malade,Animalades,Créatures d'Astrub,11,15,False,False,2312,False,False,3,0
475,Milirat Strubien,Rats Strubiens,Créatures d'Astrub,22,30,False,False,2334,False,False,3,0
476,Kaba,Monstres de quête,Créatures de quête,20,20,False,False,0,False,False,3,0
478,Bworker,Bworks de Gisgoul,Créatures de Sidimote,180,180,False,False,0,False,False,3,0
479,Mama Bwork,Bworks de Gisgoul,Créatures de Sidimote,172,180,False,False,0,False,False,3,0
481,Qil Bil,Avis de recherche,Créatures de quête,70,70,False,False,0,False,False,3,0
482,Rose Artempeth,Monstres de quête,Créatures de quête,20,20,False,False,0,False,False,3,0
483,Craqueboule,Craqueleurs,Créatures d'Amakna,62,70,False,False,2326,False,False,3,0
484,Bwork Élémental de Feu,Bworks de Gisgoul,Créatures de Sidimote,172,180,False,False,0,False,False,3,0
485,Bwork Élémental d'Eau,Bworks de Gisgoul,Créatures de Sidimote,172,180,False,False,0,False,False,3,0
486,Bwork Élémental d'Air,Bworks de Gisgoul,Créatures de Sidimote,172,180,False,False,0,False,False,3,0
487,Bwork Élémental de Terre,Bworks de Gisgoul,Créatures de Sidimote,172,180,False,False,0,False,False,3,0
488,Cybwork,Bworks de Gisgoul,Créatures de Sidimote,172,180,False,False,0,False,False,3,0
489,Piou Rouge,Pious,Créatures diverses,11,15,False,False,2344,False,False,3,3
490,Piou Vert,Pious,Créatures diverses,11,15,False,False,2345,False,False,3,3
491,Piou Bleu,Pious,Créatures diverses,11,15,False,False,2341,False,False,3,3
492,Piou Rose,Pious,Créatures diverses,11,15,False,False,2343,False,False,3,3
493,Piou Jaune,Pious,Créatures diverses,11,15,False,False,2342,False,False,3,3
494,Poutch Ingball,Poutchs,Créatures diverses,1,200,False,False,0,False,False,0,0
495,La Ouassingue,Monstres du repos,Créatures des cimetières,32,40,False,False,2616,False,False,3,0
496,Le Ouassingue,Monstres du repos,Créatures des cimetières,32,40,False,False,2524,False,False,3,0
498,Gargrouille,Monstres du repos,Créatures des cimetières,32,40,False,False,2486,False,False,3,0
500,Cadeau animé,Monstres de Nowel,Créatures de Nowel,10,10,False,False,0,False,False,3,0
501,Goriya,Monstres de quête,Créatures de quête,20,20,False,False,0,False,False,3,0
